report_schema_version,engine_version,feel_package_version,dmn_package_version,dmn_tck_commit,dmn_specification_version,elixir_version,otp_version,execution_date,suite,profile,compatibility_percent,suite_coverage_percent,coverage_percent,group,id,status,decision,expected_error,expected,actual,error,case_file,compliance_level
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0001-input-data-string","001","passed","Greeting Message","false","""Hello John Doe""","""Hello John Doe""","null","TestCases/compliance-level-2/0001-input-data-string/0001-input-data-string-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0002-input-data-number","001","passed","Yearly Salary","false","{""type"":""number"",""value"":""120000""}","{""type"":""number"",""value"":""120000""}","null","TestCases/compliance-level-2/0002-input-data-number/0002-input-data-number-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0002-string-functions","001","passed","Basic","false","{""containsB"":true,""containsX"":false,""endsWithB"":true,""endsWithX"":false,""lowercase"":""a"",""startsWithB"":false,""startsWithX"":false,""stringlength"":{""type"":""number"",""value"":""6""},""substringAfterB"":""nana"",""substringBeforeB"":""b"",""substringC1"":""a"",""uppercase"":""BANANA""}","{""containsB"":true,""containsX"":false,""endsWithB"":true,""endsWithX"":false,""lowercase"":""a"",""startsWithB"":false,""startsWithX"":false,""stringlength"":{""type"":""number"",""value"":""6""},""substringAfterB"":""nana"",""substringBeforeB"":""b"",""substringC1"":""a"",""uppercase"":""BANANA""}","null","TestCases/compliance-level-3/0002-string-functions/0002-string-functions-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0002-string-functions","002","passed","Matches","false","true","true","null","TestCases/compliance-level-3/0002-string-functions/0002-string-functions-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0002-string-functions","003","passed","Replace","false","{""AanplusStarstar"":""b**a"",""Aao"":""bonono"",""encloseVowels"":""b[a]n[a]n[a]""}","{""AanplusStarstar"":""b**a"",""Aao"":""bonono"",""encloseVowels"":""b[a]n[a]n[a]""}","null","TestCases/compliance-level-3/0002-string-functions/0002-string-functions-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0002-string-functions","004","passed","Constructor","false","""2""","""2""","null","TestCases/compliance-level-3/0002-string-functions/0002-string-functions-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0003-input-data-string-allowed-values","001","passed","Employment Status Statement","false","""You are EMPLOYED""","""You are EMPLOYED""","null","TestCases/compliance-level-2/0003-input-data-string-allowed-values/0003-input-data-string-allowed-values-test-01.xml","compliance-level-2"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0003-iteration","001","passed","MonthlyPayment","false","[{""type"":""number"",""value"":""966.396742204988""},{""type"":""number"",""value"":""376.509070632494""}]","[{""type"":""number"",""value"":""966.3967422049753602329650999""},{""type"":""number"",""value"":""376.5090706325024247283858569""}]","null","TestCases/compliance-level-3/0003-iteration/0003-iteration-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/Adjudication","passed","Adjudication","false","""ACCEPT""","""ACCEPT""","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
"1.0","0.1.0","0.1.0","0.1.0","0dbcaf9b98bc3af4e36d44a7aed95e9e85703a13","1.4","1.19.1","28","2026-07-16T20:16:32.229460Z","dmn","implemented","100.0","100.0","41.89","0004-lending","001/ApplicationRiskScore","passed","ApplicationRiskScore","false","{""type"":""number"",""value"":""130""}","{""type"":""number"",""value"":""130""}","null","TestCases/compliance-level-3/0004-lending/0004-lending-test-01.xml","compliance-level-3"
